市区町村名,緯度,経度,区内バス停ID,バス会社名称,バス停名称,バス停数
品川区,35.611643,139.754168,1963,都営バス,品川清掃工場前,2
品川区,35.620952,139.753694,1964,都営バス,品川火力発電所前,3
品川区,35.605371,139.753379,1966,都営バス,品川総合福祉センター前,2
品川区,35.613601,139.747537,1968,都営バス,品川警察署入口,2
品川区,35.622561,139.740589,1970,都営バス,品川車庫前,3
品川区,35.61193,139.740134,1973,東急バス（株）,品川銀座,1
港区,35.628308,139.73773,1974,nan,品川駅,3
港区,35.629605,139.742266,1977,高速バス,品川駅東口,None
港区,35.628262,139.741464,1979,都営バス,品川駅港南口,7
港区,35.628971,139.737861,1990,nan,品川駅高輪口,6
新宿区,35.723734,139.67597,1996,都営バス,哲学堂,2
新宿区,35.723283,139.675586,1997,関東バス（株）,哲学堂〔関東・国際〕,None
中野区,35.723053,139.673195,1999,関東バス（株）,哲学堂下,1
新宿区,35.721094,139.675599,2002,関東バス（株）,哲学堂公園入口,2
新宿区,35.723579,139.675768,2004,関東バス（株）,哲学堂東,2
目黒区,35.628433,139.690012,2006,東急バス（株）,唐が崎,2
葛飾区,35.775251,139.86031,2007,京成バス（株）,商店街入口,1
台東区,35.720024,139.768326,2008,台東区,善光寺坂上,None
新宿区,35.703015,139.721637,2009,都営バス,喜久井町,2
世田谷区,35.623508,139.598789,2011,東急バス（株）,喜多見一丁目,1
世田谷区,35.625131,139.594806,2012,小田急バス（株）,喜多見中学校,2
